0,1,2,3,4,5,6,7,8,9,,
Visa: Debit/Credit in BHD,"ب.د5,197.000",Bahrain,Durham University,GBP,BHD,5197,"4,931.68",0.053799111,0,,
International Bank Transfer in British Pounds (GBP),"£10,000.00",Bahrain,Durham University,GBP,GBP,10000,10000,0,0,,
International Bank Transfer in US Dollars (USD),"$13,354.00",Bahrain,Durham University,GBP,USD,13354,"13,111.45",0.018499098,0,,
VISA: Debit/Credit in BDT,"৳1,161,340.00",Bangladesh,Durham University,GBP,BDT,1161340,"11,02,104.66",0.053747473,0,,
MasterCard: Debit/Credit in BDT,"৳1,161,340.00",Bangladesh,Durham University,GBP,BDT,1161340,"11,02,104.66",0.053747473,0,,
International Bank Transfer in British Pounds (GBP),"£10,000.00",Bangladesh,Durham University,GBP,GBP,10000,10000,0,0,,
International Bank Transfer in US Dollars (USD),"$13,354.00",Bangladesh,Durham University,GBP,USD,13354,"13,111.45",0.018499098,0,,
VISA: Debit/Credit in BBD,"27,644.00 $",Barbados,Durham University,GBP,BBD,27644,"26,234.02",0.053746242,0,,
MasterCard: Debit/Credit in BBD,"27,644.00 $",Barbados,Durham University,GBP,BBD,27644,"26,234.02",0.053746242,0,,
International Bank Transfer in British Pounds (GBP),"£10,000.00",Barbados,Durham University,GBP,GBP,10000,10000,0,0,,
International Bank Transfer in Canadian Dollars (CAD),"$17,453.00",Barbados,Durham University,GBP,CAD,17453,"17,118.59",0.019534903,0,,
International Bank Transfer in US Dollars (USD),"$13,353.00",Barbados,Durham University,GBP,USD,13353,"13,111.45",0.018422829,0,,
VISA: Debit/Credit in USD,"$13,825.00",Belarus,Durham University,GBP,USD,13825,"13,111.45",0.054421898,0,,
MasterCard: Debit/Credit in USD,"$13,825.00",Belarus,Durham University,GBP,USD,13825,"13,111.45",0.054421898,0,,
International Bank Transfer in British Pounds (GBP),"£10,000.00",Belarus,Durham University,GBP,GBP,10000,10000,0,0,,
VISA: Debit/Credit in EUR,"11.630,00 €",Belarus,Durham University,GBP,EUR,11630,"11,202.47",0.038163905,0,,
MasterCard: Debit/Credit in EUR,"11.630,00 €",Belarus,Durham University,GBP,EUR,11630,"11,202.47",0.038163905,0,,
International Bank Transfer in US Dollars (USD),"$13,354.00",Belarus,Durham University,GBP,USD,13354,"13,111.45",0.018499098,0,,
Domestic Bank Transfer in Euros (EUR),"11.519,00 €",Belgium,Durham University,GBP,EUR,11519,"11,202.47",0.028255376,0,,
VISA: Debit/Credit in EUR,"11.630,00 €",Belgium,Durham University,GBP,EUR,11630,"11,202.47",0.038163905,0,,
MasterCard: Debit/Credit in EUR,"11.630,00 €",Belgium,Durham University,GBP,EUR,11630,"11,202.47",0.038163905,0,,
American Express in EUR,"11.630,00 €",Belgium,Durham University,GBP,EUR,11630,"11,202.47",0.038163905,0,,
PayPal in EUR,"11.742,00 €",Belgium,Durham University,GBP,EUR,11742,"11,202.47",0.0481617,0,,
Online Bank Transfer,"11.519,00 €",Belgium,Durham University,GBP,EUR,11519,"11,202.47",0.028255376,0,,
International Bank Transfer in British Pounds (GBP),"£10,023.00",Belgium,Durham University,GBP,GBP,10023,10000,0,23,,
International Bank Transfer in US Dollars (USD),"$13,353.00",Belgium,Durham University,GBP,USD,13353,"13,111.45",0.018422829,0,,
Debit/Credit Card in BTN,"1,005,030.00 Nu",Bhutan,Durham University,GBP,BTN,1005030,"9,53,698.30",0.053823835,0,,
International Bank Transfer in British Pounds (GBP),"£10,000.00",Bhutan,Durham University,GBP,GBP,10000,10000,0,0,,
International Bank Transfer in US Dollars (USD),"$13,352.00",Bhutan,Durham University,GBP,USD,13352,"13,111.45",0.01834656,0,,
VISA: Debit/Credit in BOB,"Bs95,507.00",Bolivia,Durham University,GBP,BOB,95507,"90,635.90",0.053743605,0,,
Mastercard: Debit/Credit in BOB,"Bs95,507.00",Bolivia,Durham University,GBP,BOB,95507,"90,635.90",0.053743605,0,,
International Bank Transfer in US Dollars (USD),"$13,354.00",Bolivia,Durham University,GBP,USD,13354,"13,111.45",0.018499098,0,,
International Bank Transfer in British Pounds (GBP),"£10,000.00",Bolivia,Durham University,GBP,GBP,10000,10000,0,0,,
VISA: Debit/Credit in USD,"$13,753.00",Bolivia,Durham University,GBP,USD,13753,"13,111.45",0.048930515,0,,
MasterCard: Debit/Credit in USD,"$13,753.00",Bolivia,Durham University,GBP,USD,13753,"13,111.45",0.048930515,0,,
VISA: Debit/Credit in BAM,"23,089.00 KM",Bosnia and Herzegovina,Durham University,GBP,BAM,23089,"21,908.69",0.053874056,0,,
MasterCard: Debit/Credit in BAM,"23,089.00 KM",Bosnia and Herzegovina,Durham University,GBP,BAM,23089,"21,908.69",0.053874056,0,,
International Bank Transfer in US Dollars (USD),"$13,353.00",Bosnia and Herzegovina,Durham University,GBP,USD,13353,"13,111.45",0.018422829,0,,
International Bank Transfer in British Pounds (GBP),"£10,000.00",Bosnia and Herzegovina,Durham University,GBP,GBP,10000,10000,0,0,,
Mastercard: Debit/Credit in BWP,"P146,800.00",Botswana,Durham University,GBP,BWP,146800,"1,39,273.92",0.054037971,0,,
VISA: Debit/Credit in BWP,"P146,800.00",Botswana,Durham University,GBP,BWP,146800,"1,39,273.92",0.054037971,0,,
International Bank Transfer in US Dollars (USD),"$13,355.00",Botswana,Durham University,GBP,USD,13355,"13,111.45",0.018575367,0,,
International Bank Transfer in South African Rand (ZAR),"R191,206.00",Botswana,Durham University,GBP,ZAR,191206,"1,85,676.99",0.029777572,0,,
International Bank Transfer in British Pounds (GBP),"£10,000.00",Botswana,Durham University,GBP,GBP,10000,10000,0,0,,
Cartão de Crédito/Débito em Reais,"R$59.776,00",Brazil,Durham University,GBP,BRL,59776,"52,902.63",0.129924921,0,,
Boleto,"R$58.780,00",Brazil,Durham University,GBP,BRL,58780,"52,902.63",0.111097879,0,,
Pagamento com Débito em Conta,"R$59.776,00",Brazil,Durham University,GBP,BRL,59776,"52,902.63",0.129924921,0,,
Pagamento Parcelado via Cartão de Crédito em Reais,"R$59.776,00",Brazil,Durham University,GBP,BRL,59776,"52,902.63",0.129924921,0,,
International Bank Transfer in US Dollars (USD),"$13,356.00",Brazil,Durham University,GBP,USD,13356,"13,111.45",0.018651637,0,,
International Bank Transfer in Euros (EUR),"11.518,00 €",Brazil,Durham University,GBP,EUR,11518,"11,202.47",0.02816611,0,,
International Bank Transfer in British Pounds (GBP),"£10,000.00",Brazil,Durham University,GBP,GBP,10000,10000,0,0,,
VISA: Debit/Credit in USD,"$13,755.00",Brazil,Durham University,GBP,USD,13755,"13,111.45",0.049083053,0,,
MasterCard: Debit/Credit in USD,"$13,755.00",Brazil,Durham University,GBP,USD,13755,"13,111.45",0.049083053,0,,
VISA: Debit/Credit in BND,"$18,900.00",Brunei Darussalam,Durham University,GBP,BND,18900,"17,908.83",0.055345324,0,,
MasterCard: Debit/Credit in BND,"$18,900.00",Brunei Darussalam,Durham University,GBP,BND,18900,"17,908.83",0.055345324,0,,
International Bank Transfer in British Pounds (GBP),"£10,000.00",Brunei Darussalam,Durham University,GBP,GBP,10000,10000,0,0,,
International Bank Transfer in US Dollars (USD),"$13,356.00",Brunei Darussalam,Durham University,GBP,USD,13356,"13,111.45",0.018651637,0,,
VISA: Debit/Credit in BGN,"лв23,084.00",Bulgaria,Durham University,GBP,BGN,23084,"21,906.36",0.053757904,0,,
MasterCard: Debit/Credit in BGN,"лв23,084.00",Bulgaria,Durham University,GBP,BGN,23084,"21,906.36",0.053757904,0,,
International Bank Transfer in US Dollars (USD),"$13,354.00",Bulgaria,Durham University,GBP,USD,13354,"13,111.45",0.018499098,0,,
International Bank Transfer in British Pounds (GBP),"£10,000.00",Bulgaria,Durham University,GBP,GBP,10000,10000,0,0,,
International Bank Transfer in Euros (EUR),"11.518,00 €",Bulgaria,Durham University,GBP,EUR,11518,"11,202.47",0.02816611,0,,
American Express in EUR,"11.629,00 €",Bulgaria,Durham University,GBP,EUR,11629,"11,202.47",0.038074639,0,,
Debit/Credit Card in BIF,"24,506,000.00 FBu",Burundi,Durham University,GBP,BIF,24506000,"2,32,60,024.48",0.053567249,0,,
International Bank Transfer in British Pounds (GBP),"£10,000.00",Burundi,Durham University,GBP,GBP,10000,10000,0,0,,
International Bank Transfer in US Dollars (USD),"$13,355.00",Burundi,Durham University,GBP,USD,13355,"13,111.45",0.018575367,0,,
Debit/Credit Card in KHR,"56,454,000.00 ៛",Cambodia,Durham University,GBP,KHR,56454000,"5,35,94,831.96",0.053347831,0,,
International Bank Transfer in British Pounds (GBP),"£10,000.00",Cambodia,Durham University,GBP,GBP,10000,10000,0,0,,
International Bank Transfer in US Dollars (USD),"$13,353.00",Cambodia,Durham University,GBP,USD,13353,"13,111.45",0.018422829,0,,
MasterCard: Debit/Credit in XAF,"7,741,700.00 Fr",Cameroon,Durham University,GBP,XAF,7741700,"73,46,786.95",0.053753165,0,,
VISA: Debit/Credit in XAF,"7,741,700.00 Fr",Cameroon,Durham University,GBP,XAF,7741700,"73,46,786.95",0.053753165,0,,
International Bank Transfer in US Dollars (USD),"$13,352.00",Cameroon,Durham University,GBP,USD,13352,"13,111.45",0.01834656,0,,
International Bank Transfer in British Pounds (GBP),"£10,000.00",Cameroon,Durham University,GBP,GBP,10000,10000,0,0,,
Bank Transfer in Canadian Dollars,"$17,549.00",Canada,Durham University,GBP,CAD,17549,"17,118.06",0.025174582,0,,
VISA: Debit/Credit in CAD,"$17,935.00",Canada,Durham University,GBP,CAD,17935,"17,118.06",0.047723866,0,,
MasterCard: Debit/Credit in CAD,"$17,935.00",Canada,Durham University,GBP,CAD,17935,"17,118.06",0.047723866,0,,
PayPal in CAD,"$17,823.00",Canada,Durham University,GBP,CAD,17823,"17,118.06",0.041181068,0,,
Online Bill Pay,"$17,549.00",Canada,Durham University,GBP,CAD,17549,"17,118.06",0.025174582,0,,
International Bank Transfer in British Pounds (GBP),"£10,023.00",Canada,Durham University,GBP,GBP,10023,10000,0,23,,
International Bank Transfer in US Dollars (USD),"$13,348.00",Canada,Durham University,GBP,USD,13348,"13,111.45",0.018041483,0,,
VISA: Debit/Credit in XAF,"7,741,700.00 Fr",Central African Republic,Durham University,GBP,XAF,7741700,"73,47,344.54",0.053673196,0,,
MasterCard: Debit/Credit in XAF,"7,741,700.00 Fr",Central African Republic,Durham University,GBP,XAF,7741700,"73,47,344.54",0.053673196,0,,
International Bank Transfer in US Dollars (USD),"$13,345.00",Central African Republic,Durham University,GBP,USD,13345,"13,111.45",0.017812675,0,,
International Bank Transfer in British Pounds (GBP),"£10,000.00",Central African Republic,Durham University,GBP,GBP,10000,10000,0,0,,
International Bank Transfer in US Dollars (USD),"$13,344.00",Chad,Durham University,GBP,USD,13344,"13,111.45",0.017736406,0,,
International Bank Transfer in British Pounds (GBP),"£10,000.00",Chad,Durham University,GBP,GBP,10000,10000,0,0,,
VISA: Debit/Credit in CLP,$9.166.000,Chile,Durham University,GBP,CLP,9166000,"86,94,918.96",0.054178888,0,,
MasterCard: Debit/Credit in CLP,$9.166.000,Chile,Durham University,GBP,CLP,9166000,"86,94,918.96",0.054178888,0,,
International Bank Transfer in US Dollars (USD),"$13,345.00",Chile,Durham University,GBP,USD,13345,"13,111.45",0.017812675,0,,
International Bank Transfer in British Pounds (GBP),"£10,000.00",Chile,Durham University,GBP,GBP,10000,10000,0,0,,
VISA: Debit/Credit in USD,"$13,743.00",Chile,Durham University,GBP,USD,13743,"13,111.45",0.048167823,0,,
MasterCard: Debit/Credit in USD,"$13,743.00",Chile,Durham University,GBP,USD,13743,"13,111.45",0.048167823,0,,
国内银行间人民币转账-Domestic RMB Transfer 需上传学校出具的付款通知,"CNY91,731.00",China,Durham University,GBP,CNY,91731,"90,183.37",0.017160924,0,,
支付宝-Alipay,"CNY91,731.00",China,Durham University,GBP,CNY,91731,"90,183.37",0.017160924,0,,
银联支付-UnionPay,"CNY91,731.00",China,Durham University,GBP,CNY,91731,"90,183.37",0.017160924,0,,
万事达卡-mastercard（人民币）,"CNY95,206.00",China,Durham University,GBP,CNY,95206,"90,183.37",0.055693528,0,,
维萨卡-VISA（人民币）,"CNY95,206.00",China,Durham University,GBP,CNY,95206,"90,183.37",0.055693528,0,,
International Bank Transfer in British Pounds (GBP),"£10,023.00",China,Durham University,GBP,GBP,10023,10000,0,23,,
MasterCard in USD,"$13,742.00",China,Durham University,GBP,USD,13742,"13,111.45",0.048091554,0,,
VISA in USD,"$13,742.00",China,Durham University,GBP,USD,13742,"13,111.45",0.048091554,0,,
International Bank Transfer in US Dollars (USD),"$13,344.00",China,Durham University,GBP,USD,13344,"13,111.45",0.017736406,0,,
Debit/Credit Card in COP,"COL$41.455.000,00",Colombia,Durham University,GBP,COP,41455000,"3,93,35,776.64",0.053875213,0,,
International Bank Transfer in British Pounds (GBP),"£10,000.00",Colombia,Durham University,GBP,GBP,10000,10000,0,0,,
MasterCard: Debit/Credit in USD,"$13,744.00",Colombia,Durham University,GBP,USD,13744,"13,111.45",0.048244092,0,,
VISA: Debit/Credit in USD,"$13,744.00",Colombia,Durham University,GBP,USD,13744,"13,111.45",0.048244092,0,,
International Bank Transfer in US Dollars (USD),"$13,345.00",Colombia,Durham University,GBP,USD,13345,"13,111.45",0.017812675,0,,
VISA: Debit/Credit in XAF,"7,739,700.00 Fr",Congo,Durham University,GBP,XAF,7739700,"73,45,094.61",0.053723663,0,,
MasterCard: Debit/Credit in XAF,"7,739,700.00 Fr",Congo,Durham University,GBP,XAF,7739700,"73,45,094.61",0.053723663,0,,
International Bank Transfer in British Pounds (GBP),"£10,000.00",Congo,Durham University,GBP,GBP,10000,10000,0,0,,
International Bank Transfer in US Dollars (USD),"$13,348.00",Congo,Durham University,GBP,USD,13348,"13,111.45",0.018041483,0,,
International Bank Transfer in South African Rand (ZAR),"R191,223.00",Congo,Durham University,GBP,ZAR,191223,"1,85,759.76",0.029410245,0,,
VISA: Debit/Credit in CRC,"₡8.123.800,00",Costa Rica,Durham University,GBP,CRC,8123800,"75,94,751.16",0.069659799,0,,
MasterCard: Debit/Credit in CRC,"₡8.123.800,00",Costa Rica,Durham University,GBP,CRC,8123800,"75,94,751.16",0.069659799,0,,
International Bank Transfer in US Dollars (USD),"$13,348.00",Costa Rica,Durham University,GBP,USD,13348,"13,111.45",0.018041483,0,,
International Bank Transfer in British Pounds (GBP),"£10,000.00",Costa Rica,Durham University,GBP,GBP,10000,10000,0,0,,
VISA: Debit/Credit in USD,"$13,747.00",Costa Rica,Durham University,GBP,USD,13747,"13,111.45",0.0484729,0,,
MasterCard: Debit/Credit in USD,"$13,747.00",Costa Rica,Durham University,GBP,USD,13747,"13,111.45",0.0484729,0,,
Bank Transfer in Croatian Kuna (HRK),"kn85.933,00",Croatia,Durham University,GBP,HRK,85933,"83,163.75",0.033298763,0,,
VISA,"kn87.609,00",Croatia,Durham University,GBP,HRK,87609,"83,163.75",0.053451774,0,,
MasterCard,"kn87.609,00",Croatia,Durham University,GBP,HRK,87609,"83,163.75",0.053451774,0,,
Online Bank Transfer,"kn85.933,00",Croatia,Durham University,GBP,HRK,85933,"83,163.75",0.033298763,0,,
International Bank Transfer in US Dollars (USD),"$13,345.00",Croatia,Durham University,GBP,USD,13345,"13,111.45",0.017812675,0,,
American Express in EUR,"11.627,00 €",Croatia,Durham University,GBP,EUR,11627,"11,202.47",0.037896107,0,,
International Bank Transfer in British Pounds (GBP),"£10,000.00",Croatia,Durham University,GBP,GBP,10000,10000,0,0,,
Domestic Bank Transfer in Euros (EUR),"11.513,00 €",Cyprus,Durham University,GBP,EUR,11513,"11,202.47",0.02771978,0,,
VISA: Debit/Credit in EUR,"11.624,00 €",Cyprus,Durham University,GBP,EUR,11624,"11,202.47",0.037628309,0,,
MasterCard: Debit/Credit in EUR,"11.624,00 €",Cyprus,Durham University,GBP,EUR,11624,"11,202.47",0.037628309,0,,
American Express in EUR,"11.624,00 €",Cyprus,Durham University,GBP,EUR,11624,"11,202.47",0.037628309,0,,
PayPal in EUR,"11.736,00 €",Cyprus,Durham University,GBP,EUR,11736,"11,202.47",0.047626104,0,,
Online Bank Transfer,"11.513,00 €",Cyprus,Durham University,GBP,EUR,11513,"11,202.47",0.02771978,0,,
International Bank Transfer in British Pounds (GBP),"£10,000.00",Cyprus,Durham University,GBP,GBP,10000,10000,0,0,,
International Bank Transfer in US Dollars (USD),"$13,345.00",Cyprus,Durham University,GBP,USD,13345,"13,111.45",0.017812675,0,,
Bank Transfer from a Czech Koruna (CZK) Account,"Kč296.745,00",Czech Republic,Durham University,GBP,CZK,296745,"2,87,899.47",0.030724371,0,,
VISA: Debit/Credit in CZK,"Kč303.311,00",Czech Republic,Durham University,GBP,CZK,303311,"2,87,899.47",0.053530943,0,,
MasterCard: Debit/Credit in CZK,"Kč303.311,00",Czech Republic,Durham University,GBP,CZK,303311,"2,87,899.47",0.053530943,0,,
Online Bank Transfer,"Kč296.745,00",Czech Republic,Durham University,GBP,CZK,296745,"2,87,899.47",0.030724371,0,,
International Bank Transfer in US Dollars (USD),"$13,348.00",Czech Republic,Durham University,GBP,USD,13348,"13,111.45",0.018041483,0,,
International Bank Transfer in Euros (EUR),"11.514,00 €",Czech Republic,Durham University,GBP,EUR,11514,"11,202.47",0.027809046,0,,
American Express in EUR,"11.625,00 €",Czech Republic,Durham University,GBP,EUR,11625,"11,202.47",0.037717575,0,,
International Bank Transfer in British Pounds (GBP),"£10,000.00",Czech Republic,Durham University,GBP,GBP,10000,10000,0,0,,
Domestic Bank Transfer in Danish Krone (DKK),"85.889,00 kr",Denmark,Durham University,GBP,DKK,85889,"83,511.51",0.02846901,0,,
VISA: Debit/Credit in DKK,"86.718,00 kr",Denmark,Durham University,GBP,DKK,86718,"83,511.51",0.038395785,0,,
MasterCard: Debit/Credit in DKK,"86.718,00 kr",Denmark,Durham University,GBP,DKK,86718,"83,511.51",0.038395785,0,,
Online Bank Transfer,"85.889,00 kr",Denmark,Durham University,GBP,DKK,85889,"83,511.51",0.02846901,0,,
International Bank Transfer in British Pounds (GBP),"£10,000.00",Denmark,Durham University,GBP,GBP,10000,10000,0,0,,
International Bank Transfer in US Dollars (USD),"$13,350.00",Denmark,Durham University,GBP,USD,13350,"13,111.45",0.018194021,0,,
American Express in EUR,"11.623,00 €",Denmark,Durham University,GBP,EUR,11623,"11,202.47",0.037539043,0,,
VISA: Debit/Credit in DOP,"$688,600.00",Dominican Republic,Durham University,GBP,DOP,688600,"6,53,721.91",0.053353099,0,,
MasterCard: Debit/Credit in DOP,"$688,600.00",Dominican Republic,Durham University,GBP,DOP,688600,"6,53,721.91",0.053353099,0,,
International Bank Transfer in US Dollars (USD),"$13,348.00",Dominican Republic,Durham University,GBP,USD,13348,"13,111.45",0.018041483,0,,
International Bank Transfer in British Pounds (GBP),"£10,000.00",Dominican Republic,Durham University,GBP,GBP,10000,10000,0,0,,
VISA: Debit/Credit in USD,"$13,747.00",Dominican Republic,Durham University,GBP,USD,13747,"13,111.45",0.0484729,0,,
MasterCard: Debit/Credit in USD,"$13,747.00",Dominican Republic,Durham University,GBP,USD,13747,"13,111.45",0.0484729,0,,
International Bank Transfer in US Dollars (USD),"$13,351.00",Ecuador,Durham University,GBP,USD,13351,"13,111.45",0.01827029,0,,
VISA: Debit/Credit in USD,"$13,750.00",Ecuador,Durham University,GBP,USD,13750,"13,111.45",0.048701707,0,,
MasterCard: Debit/Credit in USD,"$13,750.00",Ecuador,Durham University,GBP,USD,13750,"13,111.45",0.048701707,0,,
International Bank Transfer in British Pounds (GBP),"£10,000.00",Ecuador,Durham University,GBP,GBP,10000,10000,0,0,,
International Bank Transfer in Canadian Dollars (CAD),"$17,453.00",Ecuador,Durham University,GBP,CAD,17453,"17,114.79",0.019761271,0,,
VISA: Debit/Credit in EGP,"ج.م247,978.00",Egypt,Durham University,GBP,EGP,247978,"2,35,374.33",0.053547343,0,,
MasterCard: Debit/Credit in EGP,"ج.م247,978.00",Egypt,Durham University,GBP,EGP,247978,"2,35,374.33",0.053547343,0,,
International Bank Transfer in US Dollars (USD),"$13,351.00",Egypt,Durham University,GBP,USD,13351,"13,111.45",0.01827029,0,,
International Bank Transfer in British Pounds (GBP),"£10,000.00",Egypt,Durham University,GBP,GBP,10000,10000,0,0,,
International Bank Transfer in US Dollars (USD),"$13,352.00",El Salvador,Durham University,GBP,USD,13352,"13,111.45",0.01834656,0,,
VISA: Debit/Credit in USD,"$13,751.00",El Salvador,Durham University,GBP,USD,13751,"13,111.45",0.048777977,0,,
MasterCard: Debit/Credit in USD,"$13,751.00",El Salvador,Durham University,GBP,USD,13751,"13,111.45",0.048777977,0,,
International Bank Transfer in Mexican Pesos (MXN),"$256,212.00",El Salvador,Durham University,GBP,MXN,256212,"2,48,156.11",0.032462993,0,,
International Bank Transfer in British Pounds (GBP),"£10,000.00",El Salvador,Durham University,GBP,GBP,10000,10000,0,0,,
Domestic Bank Transfer in Euros (EUR),"11.514,00 €",Estonia,Durham University,GBP,EUR,11514,"11,202.47",0.027809046,0,,
VISA: Debit/Credit in EUR,"11.626,00 €",Estonia,Durham University,GBP,EUR,11626,"11,202.47",0.037806841,0,,
MasterCard: Debit/Credit in EUR,"11.626,00 €",Estonia,Durham University,GBP,EUR,11626,"11,202.47",0.037806841,0,,
American Express in EUR,"11.626,00 €",Estonia,Durham University,GBP,EUR,11626,"11,202.47",0.037806841,0,,
